read_2,bnf_code,dmd_code,drug_name,insulin,hypo,metformin,aspirin,antiplatelet,anticoagulant,statin
NA,NA,2.99E+17,*MIXTARD 30 PENFILL 3ML - -,1,,,,,,
NA,6010102,NA,Abasaglar  Solution for injection  100 units/ml  3 ml cartridge,1,,,,,,
f29B.00,NA,3.02E+16,Abasaglar 100units/ml solution for injection 3ml cartridg...,1,,,,,,
f29B.00,NA,3.02E+16,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),1,,,,,,
f29C.,6010102,NA,Abasaglar KwikPen 100units/ml solution for injection 3ml ...,1,,,,,,
f29C.00,NA,3.02E+16,Abasaglar KwikPen 100units/ml solution for injection 3ml ...,1,,,,,,
f29C.00,NA,3.02E+16,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1,,,,,,
NA,06.01.01.02.00,NA,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1,,,,,,
NA,NA,2.99E+17,ACTRAPID (HUMAN) PENFILL 3mL,1,,,,,,
f12B.00,NA,1.41E+16,Actrapid 100iu/ml Injection (Novo Nordisk Ltd),1,,,,,,
NA,NA,1.41E+16,Actrapid 100iu/ml Injection (Novo Nordisk Ltd),1,,,,,,
f127.00,NA,3.31E+15,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1,,,,,,
NA,06.01.03.00.00,NA,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),1,,,,,,
f12B.00,NA,1.41E+16,ACTRAPID inj 100 iu/ml,1,,,,,,
NA,NA,1.41E+16,ACTRAPID inj 100 iu/ml,1,,,,,,
NA,06.01.01.01.00,NA,ACTRAPID injection 100 units/ml [NOVO],1,,,,,,
NA,06.01.01.01.00,NA,ACTRAPID MC injection 100 units/ml [ARUN],1,,,,,,
f12B.00,NA,3.29E+15,ACTRAPID NOVOLET 100 iu/ml,1,,,,,,
NA,NA,3.29E+15,ACTRAPID NOVOLET 100 iu/ml,1,,,,,,
f12B.00,NA,3.29E+15,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),1,,,,,,
NA,06.01.01.01.00,NA,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),1,,,,,,
NA,NA,3.29E+15,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),1,,,,,,
NA,6010101,NA,Actrapid Novolet Pen 3ml INJ 100UNITS/ML,1,,,,,,
f12J.00,NA,8.36E+16,Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),1,,,,,,
f12J.00,NA,8.36E+16,ACTRAPID PENFILL 100 iu/ml,1,,,,,,
NA,06.01.01.01.00,NA,ACTRAPID PENFILL 100 units/ml [NOVO],1,,,,,,
NA,06.01.01.01.00,NA,Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),1,,,,,,
NA,6010101,NA,ACTRAPID PENFILL 3ML INJ 100UNITS/ML,1,,,,,,
NA,6010101,NA,ACTRAPID PRELOADED PEN 3ML INJ 100UNITS/ML 5,1,,,,,,
f127.00,NA,3.31E+15,ACTRAPID VIAL inj soln 100 units/ml,1,,,,,,
NA,6010101,NA,Apidra  Injection  100 units/ml  3 ml cartridge,1,,,,,,
f151.,6010101,NA,Apidra 100units/ml solution for injection 10ml vials (San...,1,,,,,,
f151.00,NA,9.53E+15,Apidra 100units/ml solution for injection 10ml vials (San...,1,,,,,,
NA,06.01.01.01.00,NA,Apidra 100units/ml solution for injection 10ml vials (Sanofi),1,,,,,,
NA,06.01.01.01.00,NA,Apidra 100units/ml solution for injection 3ml cartridges (Sanofi),1,,,,,,
NA,06.01.01.01.00,NA,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),1,,,,,,
f155.00,NA,1.21E+16,Apidra 100units/ml solution for injection 3ml pre-filled ...,1,,,,,,
NA,06.01.01.01.00,NA,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),1,,,,,,
f155.00,NA,1.21E+16,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),1,,,,,,
NA,06.01.01.01.00,NA,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),1,,,,,,
NA,6010101,NA,Apidra Solostar  Pre-filled Disposable Pen  100 units/ml  3 ml pen,1,,,,,,
f155.00,NA,1.21E+16,APIDRA SOLOSTAR inj soln 100 units/ml,1,,,,,,
NA,NA,2.99E+17,AUTOPEN 1.5mL one unit device,1,,,,,,
NA,NA,NA,Autopen 24  Re-usable pen  3 ml  1-21 units  AN4210,1,,,,,,
NA,NA,NA,Autopen 24  Re-Usable Pen  3 ml  2-42 units  AN4200,1,,,,,,
NA,NA,NA,Autopen 24  Re-usable pen  3 ml  2-42 units  AN4200,1,,,,,,
NA,71190900,NA,Autopen 24 hypodermic insulin injection pen reusable for ...,1,,,,,,
NA,NA,3.89E+15,Autopen 24 hypodermic insulin injection pen reusable for ...,1,,,,,,
NA,NA,3.89E+15,Autopen 24 hypodermic insulin injection pen reusable for ...,1,,,,,,
NA,91.06.00.00.00,NA,Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),1,,,,,,
pm1Y.00,NA,3.89E+15,Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),1,,,,,,
NA,91.06.00.00.00,NA,Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd),1,,,,,,
pm1Z.00,NA,3.89E+15,Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd),1,,,,,,
pm1Y.00,NA,3.89E+15,Autopen 24 insulin pen 3ml/1-21 units,1,,,,,,
pm1Y.00,NA,3.89E+15,Autopen 24 insulin pen 3ml/1-21 units [OWEN],1,,,,,,
pm1Z.00,NA,3.89E+15,Autopen 24 insulin pen 3ml/2-42 units [OWEN],1,,,,,,
NA,NA,NA,AUTOPEN 24 PEN 3ML 1 UNIT 1-21 UNITS,1,,,,,,
NA,NA,NA,Autopen 24 Pen 3ml 1 Unit 1-21 Units,1,,,,,,
NA,NA,NA,AUTOPEN 24 PEN 3ML 2 UNIT 2-42 UNITS,1,,,,,,
NA,NA,NA,Autopen 24 Pen 3ml 2 Unit 2-42 Units,1,,,,,,
NA,NA,2.99E+17,AUTOPEN 3mL two unit device,1,,,,,,
NA,91.06.00.00.00,NA,Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),1,,,,,,
NA,NA,2.32E+14,Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),1,,,,,,
NA,91.02.00.00.00,NA,Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd),1,,,,,,
pm1E.00,NA,4.81E+14,Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd),1,,,,,,
NA,NA,4.81E+14,Autopen Classic hypodermic insulin injection pen reusable...,1,,,,,,
NA,NA,2.32E+14,Autopen Classic hypodermic insulin injection pen reusable...,1,,,,,,
pm1E.00,NA,4.81E+14,Autopen Classic insulin pen 3ml/2-42 units [OWEN],1,,,,,,
NA,NA,NA,AUTOPEN CLASSIC PEN 3ML 1 UNIT 1-21UNITS,1,,,,,,
NA,NA,NA,Autopen Classic Pen 3ml 1 Unit 1-21units,1,,,,,,
NA,NA,NA,Autopen Classic Pen 3ml 2 Unit 2-42 Units,1,,,,,,
NA,91.06.00.00.00,NA,Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd),1,,,,,,
NA,06.01.01.04.00,NA,Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units (Owen Mumford Ltd),1,,,,,,
pm1C.00,NA,1.02E+14,Autopen insulin pen 1.5ml/1-16 units [OWEN],1,,,,,,
NA,NA,2.99E+17,Autopen insulin pen 3ml/2-42 units,1,,,,,,
pm1E.00,NA,4.81E+14,Autopen insulin pen 3ml/2-42 units [OWEN],1,,,,,,
NA,91.06.00.00.00,NA,Autopen Special Edition hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd),1,,,,,,
NA,71190600,NA,BD AutoShield Duo hypodermic insulin needles for pre-fill...,1,,,,,,
NA,NA,1.99E+16,BD AutoShield Duo hypodermic insulin needles for pre-fill...,1,,,,,,
NA,91.03.01.00.00,NA,"BD AutoShield Duo hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,1.99E+16,"BD AutoShield Duo hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,06.01.01.03.00,NA,"BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8l.,NA,1.93E+16,"BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8l.,71190600,NA,BD AutoShield hypodermic insulin needles for pre-filled /...,1,,,,,,
ph8l.,NA,1.93E+16,BD AutoShield hypodermic insulin needles for pre-filled /...,1,,,,,,
ph3B.00,NA,2.18E+17,"Bd m 0.3ml Insulin syringe with 29gauge needle 12mm (Becton, Dickinson UK Ltd)",1,,,,,,
ph3B.00,NA,2.18E+17,BD Micro-Fin Plu singl use ins syr+12m need29 0.3ml [BECTON],1,,,,,,
ph3C.00,NA,8.82E+14,BD Micro-Fin Plu singl use ins syr+12m need29 0.5ml [BECTON],1,,,,,,
NA,NA,3.78E+13,BD Micro-Fine + hypodermic insulin needles for pre-filled /,1,,,,,,
NA,91.03.01.00.00,NA,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8C.00,NA,2.80E+14,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,06.01.01.03.00,NA,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,3.78E+13,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8A.00,NA,3.78E+13,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,06.01.01.03.00,NA,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,1.52E+14,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph8B.00,NA,1.52E+14,"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,71190600,NA,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
NA,NA,1.52E+14,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
NA,NA,1.73E+16,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
NA,NA,3.78E+13,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8A.,71190000,NA,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8A.00,NA,3.78E+13,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8B.,71190000,NA,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8B.00,NA,1.52E+14,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8T.,71190000,NA,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
ph8T.00,NA,1.73E+16,BD Micro-Fine + hypodermic insulin needles for pre-filled...,1,,,,,,
NA,71190300,NA,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
NA,NA,2.56E+14,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
NA,NA,7.49E+15,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
NA,NA,1.84E+14,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
NA,NA,8.82E+14,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
ph3b.,6010103,NA,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
ph3C.00,NA,8.82E+14,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
ph3M.00,NA,1.84E+14,BD Micro-Fine + hypodermic U100 insulin syringe sterile s...,1,,,,,,
NA,91.06.00.00.00,NA,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,2.56E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3L.00,NA,2.56E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,91.02.00.00.00,NA,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,8.82E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3C.00,NA,8.82E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,06.01.01.03.00,NA,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,NA,1.84E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3M.00,NA,1.84E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",1,,,,,,
NA,91.02.00.00.00,NA,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
ph3D.00,NA,3.86E+14,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)",1,,,,,,
